ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	168	0.814622768288716	2.89750870185865	1e-10	5e-10	4.06614161489218e-10	1930	tags=67%, list=11%, signal=60%	CCL19/MMP9/IRF4/CD79A/CD3E/CCL22/CXCL13/IL2RG/CD2/CD3D/LCK/FCGR2B/CD3G/TRAT1/SIT1/CD7/CD96/IL2RB/CCR2/ITK/PTPRC/IRF8/PRKCB/CD247/INHBA/CCR5/MAP4K1/CTSS/CCL5/ITGAL/CD28/TIMP1/GZMA/CD86/ZAP70/CD1D/CRTAM/CCL13/GZMB/CD8A/IL6/CCL2/TLR6/FASLG/CD40LG/ITGB2/NCF4/IL16/ST8SIA4/LCP2/LIF/IL1B/CCL4/HCLS1/STAT4/NLRP3/GPR65/IL12RB1/FGR/IL2RA/WAS/PRF1/CCND2/SPI1/CFP/KLRD1/GBP2/LY86/IL27RA/CXCR3/IFNAR2/IL7/IL11/STAB1/CD4/CD74/HLA-DQA1/SRGN/ICAM1/LYN/HDAC9/B2M/TLR2/FLNA/FAS/CD8B/PTPN6/TLR1/CD80/BCL3/TGFB1/TGFB2/CCL11/STAT1/INHBB/HLA-DMA/IL18RAP/CXCL9/ELF4/RPS19/ETS1/IL4R/BCAT1/CSK/PF4/CSF1/IFNGR1/HIF1A/IL18/GALNT1/IRF7/TAP2/CD40	NA
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	183	0.746980694923086	2.73986540352893	1e-10	5e-10	4.06614161489218e-10	2170	tags=61%, list=13%, signal=54%	CXCL6/IL7R/CD48/CCR7/LAMP3/SELL/CCL22/KCNA3/LCK/SLAMF1/CD70/IL2RB/RGS1/INHBA/CCL5/PIK3R5/TIMP1/NOD2/HAS2/FPR1/CYBB/IL6/PTAFR/CCL2/CSF3R/IL10RA/TNFSF9/MEFV/CXCL8/SPHK1/LCP2/LIF/IL1B/GNA15/NLRP3/MYC/CCL20/C3AR1/PTPRE/SELE/OSMR/TNFRSF9/ROS1/PLAUR/MSR1/TNFRSF1B/TPBG/CD69/ITGB3/STAB1/P2RX7/OSM/SERPINE1/ICAM1/ADGRE1/LYN/HRH1/RNF144B/TNFSF10/TLR2/BTG2/IFITM1/MMP14/EDN1/PDE4B/CDKN1A/LPAR1/AXL/CXCL10/TLR1/PTGER2/KLF6/EBI3/PROK2/CD14/PTGIR/EMP3/C5AR1/IL1R1/AHR/RTP4/SLC1A2/IL18RAP/NMI/CXCL9/IRF1/MET/IL15RA/RHOG/RGS16/ITGA5/IL4R/ABCA1/ITGB8/FFAR2/CSF1/HIF1A/IL18/IRF7/GPR183/SLC7A1/CD40/MARCO/IL18R1/IRAK2/NFKB1/CCL17/IFNGR2/CMKLR1/DCBLD2/NFKBIA	NA
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	184	0.717845331312067	2.62638593120707	1e-10	5e-10	4.06614161489218e-10	3848	tags=78%, list=22%, signal=61%	IRF4/SLAMF7/IL2RB/ZBP1/IRF8/CCL5/SOCS3/CSF2RB/GZMA/CD86/C1S/FPR1/IL6/CCL2/IL10RA/ST8SIA4/LCP2/ISG20/C1R/STAT4/SAMHD1/HLA-DRB1/FCGR1A/CASP1/CD38/IFNAR2/CD69/IL7/TNFAIP3/TNFAIP2/VCAM1/HLA-B/CD74/HLA-DQA1/CFH/SERPING1/ICAM1/SECTM1/TNFSF10/B2M/IFITM3/BANK1/NLRC5/IFITM2/FAS/PDE4B/PTPN6/CASP4/CDKN1A/CXCL10/CIITA/IDO1/RTP4/PLSCR1/STAT1/OASL/MX2/HLA-DMA/PLA2G4A/SELP/NMI/CXCL9/SOD2/OAS2/SP110/PARP14/IRF1/ST3GAL5/RNF213/IL15RA/ARL4A/SSPN/IL4R/MTHFD2/IFI30/OAS3/MX1/PFKP/HIF1A/IRF9/PML/IRF7/SAMD9L/TXNIP/UBE2L6/UPP1/CD40/XAF1/APOL6/IFI44/CASP3/NFKB1/CMKLR1/IFI44L/STAT2/ISG15/CASP8/NFKBIA/FGL2/P2RY14/HELZ2/PARP12/STAT3/BTG1/PSMB10/NOD1/PSME2/TRIM21/HERC6/EPSTI1/PTGS2/NAMPT/RIPK2/BST2/ITGB7/IFI27/LYSMD2/SRI/NCOA3/PSME1/TRIM25/TRAFD1/IFIT2/PIM1/DDX60/PELI1/PTPN2/CD274/ZNFX1/PTPN1/LGALS3BP/RAPGEF6/MYD88/NUP93/IL15/IFIT3/IFIH1/CASP7/ARID5B/MVP/IFI35/GBP4/IRF5/LY6E	NA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	192	0.70305615513489	2.58782975906364	1e-10	5e-10	4.06614161489218e-10	2428	tags=60%, list=14%, signal=52%	CXCL6/VCAN/NNMT/FAP/CXCL1/THBS2/LAMC2/COL1A1/INHBA/NTM/PRRX1/TIMP1/COL3A1/TNC/COL6A3/IL6/COMP/CXCL8/LUM/TGM2/RGS4/COL7A1/COL16A1/GLIPR1/TFPI2/COL5A1/COL1A2/CRLF1/FN1/TNFRSF12A/VIM/GREM1/MGP/TGFBI/CDH11/PLAUR/ADAM12/COL4A1/COL8A2/ITGB3/CD44/TNFAIP3/TPM4/VCAM1/OXTR/IL32/SERPINE1/FSTL1/BASP1/GEM/LOXL1/TPM1/FBN1/CDH6/SPP1/FLNA/MMP14/FAS/SLIT3/COL11A1/LAMA2/JUN/ENO2/FMOD/COL5A2/COL4A2/LAMA3/CTHRC1/EMP3/FSTL3/LOXL2/TGFB1/SFRP1/WNT5A/FBLN1/TAGLN/WIPF1/LRP1/SPARC/LGALS1/BMP1/DCN/GJA1/SERPINE2/MMP2/PCOLCE/BGN/SFRP4/TNFRSF11B/ITGA5/ELN/ITGB1/PDGFRB/TPM2/COLGALT1/PMEPA1/GPX7/PMP22/THBS1/COL5A3/NID2/DPYSL3/FGF2/LAMC1/NOTCH2/ACTA2/RHOB/MATN2/CAPG/VEGFC/MEST/FBLN2/POSTN/MCM7/CALU	NA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	186	0.699759635809868	2.54256766378243	1e-10	5e-10	4.06614161489218e-10	2865	tags=61%, list=17%, signal=52%	CXCL6/IL7R/CXCL1/PLEK/INHBA/CCL5/SOCS3/BIRC3/TNC/EGR2/MSC/IL6/CCL2/FOS/TNFSF9/CXCL2/EGR1/SPHK1/LIF/BCL2A1/IL1B/CCL4/MYC/CCL20/PTPRE/DUSP2/TNFRSF9/PLAUR/JUNB/FOSB/SERPINB8/CD69/CD44/TNFAIP3/SLC2A3/TNFAIP8/TNFAIP2/EGR3/PLK2/SERPINE1/RELB/ICAM1/GEM/TLR2/NFKB2/BTG2/ATF3/MARCKS/EDN1/PDE4B/NFKBIE/CDKN1A/CXCL10/JUN/KLF6/MAFF/FOSL2/TRAF1/CEBPB/CD80/BCL3/DUSP4/FOSL1/SLC2A6/PHLDA2/ZFP36/SOD2/IRF1/SPSB1/MCL1/IL15RA/NR4A2/FJX1/ZC3H12A/FUT4/ABCA1/PFKFB3/CSF1/DUSP5/PMEPA1/IER5/IL18/MAP3K8/CXCL3/GPR183/GFPT2/PPP1R15A/NFKB1/IFNGR2/RHOB/BCL6/ETS2/NFKBIA/KLF4/CEBPD/NR4A3/TGIF1/REL/HBEGF/BTG3/BTG1/TANK/SAT1/PNRC1/LITAF/NFAT5/PTGS2/CCRL2/NAMPT/RIPK2/PDLIM5/TRIB1/TSC22D1/CLCF1	NA
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	76	0.772464354815619	2.499543712799	1e-10	5e-10	4.06614161489218e-10	2128	tags=63%, list=12%, signal=56%	REG1A/CXCL1/CXCL13/IL2RG/PLA2G2A/SOCS3/PIK3R5/CSF2RB/IL6/CSF3R/ITGA4/IL1B/IL12RB1/IL2RA/TNFRSF12A/OSMR/CD38/TNFRSF1B/ITGB3/IL7/CD44/TLR2/FAS/CXCL10/JUN/A2M/EBI3/CD14/CD36/IL1R1/TGFB1/STAT1/CXCL9/IRF1/IL15RA/IL17RA/IL4R/PF4/CSF1/IFNGR1/MAP3K8/IRF9/CXCL3/IL10RB/IL18R1/IFNGR2/CBL/STAT2	NA
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	90	0.721134674266381	2.40356924771176	1e-10	5e-10	4.06614161489218e-10	3848	tags=74%, list=22%, signal=58%	LAMP3/SELL/C1S/ISG20/CASP1/GBP2/IL7/CD74/B2M/IFITM3/IFITM2/IFITM1/CXCL10/HLA-C/RTP4/PLSCR1/OASL/SAMD9/NMI/SP110/PARP14/IRF1/IL4R/IFI30/MX1/CSF1/IRF9/IRF7/SAMD9L/TXNIP/UBE2L6/IFI44/PARP9/IFI44L/STAT2/ISG15/CASP8/ELF1/HELZ2/PARP12/LPAR6/PSME2/TRIM21/HERC6/UBA7/PROCR/EPSTI1/CD47/CCRL2/RIPK2/OAS1/BST2/IFI27/NUB1/PSME1/TRIM25/TRAFD1/IFIT2/DDX60/TRIM5/LGALS3BP/IL15/IFIT3/IFIH1/IFI35/GBP4/LY6E	NA
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	183	0.643937150951701	2.36190993144905	1e-10	5e-10	4.06614161489218e-10	2159	tags=46%, list=13%, signal=41%	ADAMDEC1/MMP9/IL7R/SERPINA3/IL2RG/SLPI/LCP1/IKZF1/WNT7A/IRF8/INHBA/DOCK2/MAP4K1/CTSS/PRRX1/LAPTM5/ITGBL1/BIRC3/TLR8/RETN/KCNN4/IL10RA/ITGB2/FCER1G/LIF/IL1B/CXCR4/LAT2/CCL20/C3AR1/CCND2/PRDM1/SOX9/PLAUR/TNFRSF1B/TNFAIP3/ALDH1A3/CFH/F13A1/LY96/MMP11/HDAC9/PPBP/SPP1/PIGR/CLEC4A/SPON1/IL33/CXCL10/CD37/TSPAN13/AKAP12/TRAF1/NRP1/EPHB2/GYPC/KIF5C/ANO1/EMP1/SPARCL1/PECAM1/NIN/GPNMB/ST6GAL1/RGS16/ETS1/MAP3K1/CPE/MPZL2/ETV4/ADAM8/VWA5A/MMD/PCP4/DUSP6/GFPT2/HKDC1/SNAP25/PPP1R15A/ADGRA2/CBL/CMKLR1/DCBLD2/ETV1	NA
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	151	0.61848287712638	2.22112006275571	1e-10	5e-10	4.06614161489218e-10	2645	tags=42%, list=15%, signal=36%	GSTM1/CD2/TOP2A/TIMP1/BIRC3/PLCB2/IL6/FASLG/LUM/ISG20/IL1B/GNA15/ANXA1/PRF1/CASP1/CCND2/TNFRSF12A/CLU/CD38/CD69/CD44/EGR3/TNFSF10/IFITM3/BTG2/FAS/ATF3/CASP4/CDKN1A/JUN/ENO2/CD14/HGF/TGFB2/CDC25B/SOD2/DCN/TIMP2/IRF1/LEF1/MCL1/MMP2/EMP1/BMF/BGN/FEZ1/PDGFRB/PDCD4/IFNGR1/IL18/KRT18/PEA15/TXNIP/CASP3/RHOB/CASP8/GPX1/IGFBP6/CYLD/BTG3/SAT1/BAX/APP/PPT1	NA
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	187	0.611582695119198	2.22099222298997	1e-10	5e-10	4.06614161489218e-10	2326	tags=40%, list=14%, signal=35%	CTLA4/IRF4/ICOS/CD48/RHOH/SELL/TNFRSF18/BATF/EOMES/IL2RB/HOPX/IRF8/CD86/CD79B/CCR4/ADAM19/TLR7/IL10RA/NFKBIZ/LIF/TGM2/GLIPR2/MYC/TNFRSF4/GPR65/IL2RA/CCND2/TNFRSF9/CST7/TNFRSF1B/CD44/SLC2A3/CDC6/TNFSF10/IFITM3/SPP1/BATF3/CXCL10/HK2/PTGER2/KLF6/MAFF/TRAF1/SYT11/NRP1/AHR/AHNAK/PLSCR1/FLT3LG/SELP/PRKCH/EMP1/ARL4A/CTSZ/TIAM1/RGS16/IL4R/XBP1/ETV4/CSF1/IFNGR1/LRRC8C/MAP3K8/S100A1/IL18R1/GPR83/CASP3/RHOB/CAPG/CDC42SE2/FGL2/ANXA4/ITGAE/CDCP1	NA
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	185	0.56917841520415	2.08112410476912	4.6932773576163e-10	2.13330788982559e-09	1.73486639763953e-09	2166	tags=38%, list=13%, signal=33%	LTF/CXCL1/C3/FCN1/LCK/GZMK/PLA2G7/PLEK/CP/S100A9/CTSS/CCL5/PIK3R5/TIMP1/GZMA/C1S/GZMB/IL6/PIK3CG/CD40LG/C1QC/FCER1G/C1QA/LCP2/APOC1/C1R/TFPI2/ITGAM/WAS/CASP1/FN1/APOBEC3G/CLU/PLAUR/DOCK10/TNFAIP3/SERPINE1/CFH/SERPING1/LYN/MMP14/GNG2/CASP4/MAFF/COL4A2/CEBPB/CD36/ERAP2/PLSCR1/LRP1/PLA2G4A/TIMP2/IRF1/RHOG/SH2B3/DUSP5/DYRK2/ANXA5/IRF7/S100A13/DUSP6/GNAI2/ME1/HPCAL4/GNB4/PFN1/CASP3/PRSS36/APOBEC3F/KIF2A	0.801215574617779
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	177	0.556369155795502	2.03100370275252	1.15184750908529e-08	4.4301827272511e-08	3.60275006977045e-08	4527	tags=54%, list=26%, signal=40%	MYBL2/MKI67/TOP2A/UBE2C/E2F2/CENPF/PTTG1/TPX2/BUB1/MYC/CDC7/AURKB/CDC6/BIRC5/TROAP/LMNB1/BRCA2/MARCKS/TACC3/HMGA1/KIF4A/BCL3/TGFB1/POLQ/CDC25B/E2F1/STMN1/SLC38A1/CKS2/CCNA2/HIF1A/PML/SLC7A1/NOTCH2/RPS6KA5/PRC1/BARD1/KIF2C/NUSAP1/STIL/MCM5/EZH2/GINS2/KIF11/DDX39A/MCM3/RAD54L/SMC4/CHAF1A/CDC20/PLK4/KIF20B/NASP/NSD2/KPNA2/UBE2S/PRIM2/DMD/LBR/ODF2/RPA2/CCNB2/CDK1/HNRNPU/MEIS1/TMPO/RBL1/FOXN3/SAP30/PLK1/MCM2/HMGB3/MCM6/TRA2B/MEIS2/EWSR1/RACGAP1/SMAD3/KPNB1/CHEK1/NOLC1/BUB3/DBF4/SRSF2/ILF3/SQLE/MTF2/MAPK14/KMT5A/CASP8AP2/CCNF/CBX1/DKC1/HMGN2/NUP98/AURKA	0.747739663149885
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	184	-0.51540259828183	-2.02202628301293	1.84704208959583e-09	7.6960087066493e-09	6.25861225413585e-09	7029	tags=82%, list=41%, signal=49%	MTRF1/TIMM9/SLC25A3/HCCS/UQCR11/NDUFA1/UQCR10/NDUFS2/TOMM22/SLC25A12/IMMT/IDH3A/NDUFB4/NDUFA5/PDHX/NDUFA6/ATP6V1C1/MFN2/TIMM8B/UQCRC2/NDUFB6/MRPS22/AIFM1/VDAC1/DLD/LDHB/ISCA1/COX17/POLR2F/MRPS11/RHOT1/COX15/OXA1L/ATP6V1E1/ATP6AP1/PRDX3/COX6B1/ATP6V1F/MRPL15/HTRA2/COX7A2L/MTRR/MDH1/MRPL11/ATP6V0B/NDUFB5/NDUFS6/MGST3/VDAC2/COX7B/MTX2/COX7A2/MDH2/COX5A/HADHB/HSPA9/HADHA/SDHD/COX6A1/OPA1/ABCB7/COX11/NNT/MRPS15/NDUFB8/SLC25A5/AFG3L2/NDUFS3/CPT1A/NDUFA9/SUPV3L1/UQCRFS1/TIMM13/NDUFA2/IDH3B/GOT2/FXN/PMPCA/PDK4/TOMM70/TIMM50/NDUFC2/ATP6V1H/NDUFS8/DLST/COX5B/NDUFA8/ATP6V0C/COX10/DLAT/SUCLA2/MRPL35/BDH2/NDUFA3/SDHA/TIMM10/MRPS12/FH/ETFA/NDUFB1/HSD17B10/UQCRQ/LRPPRC/NDUFAB1/NDUFA7/NDUFB7/SURF1/IDH3G/NDUFC1/SLC25A4/MRPS30/GRPEL1/ACAT1/NDUFS1/POR/COX8A/NDUFS7/ECH1/UQCRC1/ACAA2/NDUFV1/SDHC/OAT/IDH2/OGDH/CYC1/SDHB/ETFDH/BCKDHA/SLC25A11/RETSAT/FDX1/MPC1/ATP1B1/GLUD1/ACO2/SLC25A20/ACADM/ECI1/CYB5A/ECHS1/ETFB/MRPL34/MAOB/IDH1/SUCLG1/ACADSB/PHYH/NQO2/ACAA1/ALDH6A1	0.788186810800237
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	100	0.590565093661786	1.9847188509282	1.12811578523907e-06	3.52536182887209e-06	2.86692408798585e-06	3535	tags=38%, list=21%, signal=30%	DAPP1/IL2RG/CSNK2B/LCK/PRKCB/FASLG/SFN/CXCR4/CAMK4/SLA/CDKN1A/PDK1/E2F1/TIAM1/TRIB3/GRK2/ACTR3/PFN1/ADCY2/STAT2/GNA14/ARPC3/NOD1/PTEN/NCK1/HSP90B1/TRAF2/ACTR2/TNFRSF1A/IRAK4/YWHAB/PLCG1/RAC1/CDK2/CALR/SQSTM1/CDK1/MYD88	0.643551836150722
