id	logFC	AveExpr	t	P.Value	adj.P.Val	B
NR4A1	-4.71218983681869	11.2128936383661	-16.5615219456036	1.16539338359528e-16	2.00261199037013e-12	27.2865414263336
NR4A2	-4.07073464681895	7.68687876170997	-14.3856597745022	5.07765727424569e-15	4.3627231300319e-11	23.8631423945973
DUSP1	-3.08996875608855	11.5033445536501	-12.627323611168	1.49089598660886e-13	6.6881849444799e-10	20.7226691901819
ATF3	-3.36609491583077	9.26628299083353	-12.6058587859201	1.55684007087521e-13	6.6881849444799e-10	20.6820563262792
BEST1	1.3362760940691	8.46714267435466	12.420601808459	2.26672713541849e-13	7.79028781900628e-10	20.3291502458514
HEATR9	1.30313964107236	6.66939003915254	11.9100261753975	6.51344277198078e-13	1.86545000989529e-09	19.3340237588056
SLC25A25	-1.11405037323244	11.1930412213942	-11.6518896873677	1.12350126084502e-12	2.7580350951944e-09	18.8180826089917
MIR27B	1.40958961372905	7.0596079233277	11.1501231230358	3.31651901346769e-12	7.1238828409286e-09	17.7899202556731
MGC16275	0.88606332343132	7.12108585458932	10.6220160418083	1.07141576688887e-11	2.04568983757982e-08	16.6708984706569
SVEP1	1.79111927139486	12.730499613042	10.4685656361623	1.51630058931459e-11	2.54365743540142e-08	16.3385227100038
GPR161	1.10589299056149	9.45956844707037	10.4372480655226	1.62827233411404e-11	2.54365743540142e-08	16.2702847760843
NR4A3	-3.1451939443936	8.63411502000431	-10.3344000413677	2.05931568075459e-11	2.94894005484057e-08	16.0452231272446
FBN1	1.5792724907503	12.5934510260867	10.274527074749	2.3624921564259e-11	3.12285117046328e-08	15.913520101335
ST3GAL6	-0.999449906583218	9.98547876844376	-10.0708523404769	3.78247643459054e-11	4.6427196465717e-08	15.4617156728133
SLC19A2	-1.17006126508108	9.64623608202269	-10.0172607890464	4.2849581025879e-11	4.9088480023247e-08	15.3418618014911
AFDN-AS1	-0.992671745756972	7.42409782857672	-9.8376515604776	6.52642864207459e-11	7.0093843615881e-08	14.9372098004855
CNPY4	0.627259226573269	9.15865114522944	9.63585755173515	1.05233136499584e-10	1.02699524056431e-07	14.4771078289649
FOS	-4.23611184934959	10.9428272239537	-9.62660926232021	1.07576317098216e-10	1.02699524056431e-07	14.4558822577938
ZNF79	0.476821196863353	9.24554519973688	9.59110188998523	1.17079800971941e-10	1.05889436836939e-07	14.3742767517084
EGR1	-3.6533246608148	11.1682153543654	-9.56131032339192	1.25714202210422e-10	1.08013642539194e-07	14.3056690856936
CYB561D1	0.625142519790991	10.5499973913253	9.54032496039396	1.32185100538757e-10	1.08165179412286e-07	14.2572654796429
ABCA5	-1.21045774417869	10.9032730008715	-9.50865426120169	1.42602578153121e-10	1.11385577408329e-07	14.1840968343343
C1S	2.11070017745868	12.8243270596776	9.47884583909896	1.53174786728237e-10	1.14441545006001e-07	14.1150999571933
CFD	2.37744695677507	9.10380381065422	9.4087594723788	1.8130754188097e-10	1.29816199986774e-07	13.9523734936711
DYRK2	0.872036481016897	11.0009249014003	9.3688868717134	1.99618703542951e-10	1.37209912067283e-07	13.8594847503547
GPX8	1.05834778154289	8.96720386614522	9.32001494808868	2.24668137575689e-10	1.48488356773102e-07	13.7453216681089
ITPRIPL1	1.77712176579792	5.86289795300236	9.28709289057959	2.43334247414571e-10	1.54868729910074e-07	13.6682249865807
MS4A6A	2.06021207751474	10.2510661785273	9.25875450739401	2.60668593371405e-10	1.59976039589079e-07	13.6017386276182
LOC101927539	-0.750652571337143	7.67703684701675	-9.23667997292282	2.75042731389281e-10	1.62977044696324e-07	13.5498689783377
MYO1H	1.13813472680059	6.91841107915752	9.21801100536983	2.87830613111366e-10	1.64869375190191e-07	13.5059473872025
